n1	n2	n3	n4	code_province	code_city	c_area	output	input	population	output_log	input_log
A	A01	A011	A0112	107	10701	1	90679.27	5041.71	270047	4.957512805	3.702663993
A	A01	A011	A0112	107	10701	2	48086.49	44834.47	270047	4.682032109	4.651621727
A	A01	A011	A0113	107	10701	1	1.48	0	270047	0.394451681	0
A	A01	A011	A0114	107	10701	1	3195	0	270047	3.504606771	0
A	A01	A012	A0122	107	10701	1	122406894.3	50922218.7	270047	8.087805883	7.706907326
A	A01	A012	A0122	107	10701	2	80914274.31	76391206.46	270047	7.908025149	7.883043375
A	A01	A012	A0126	107	10701	2	1314244.62	998737.33	270047	6.118676538	5.999451718
A	A01	A012	A0127	107	10701	1	1027275.38	426180.47	270047	6.011687303	5.629594563
A	A01	A012	A0127	107	10701	2	259401.13	192383.48	270047	5.413973538	5.284170034
A	A01	A013	A0130	107	10701	1	65749.46	14440.81	270047	4.817898796	4.159621627
A	A01	A014	A0141	107	10701	1	13890.75	0	270047	4.142756959	0
A	A01	A014	A0141	107	10701	2	704154	586650.57	270047	5.847668267	5.768380237
A	A01	A014	A0145	107	10701	1	629.35	0	270047	2.799581757	0
A	A01	A014	A0146	107	10701	1	96085.11	86836.03	270047	4.982660612	4.938704961
A	A01	A014	A0149	107	10701	1	2778.5	0	270047	3.443966678	0
A	A01	A016	A0161	107	10701	1	17840.98	0	270047	4.251443048	0
A	A01	A016	A0161	107	10701	2	2761855.81	2288992.66	270047	6.441201159	6.35964459
A	A01	A016	A0162	107	10701	1	99287.49	0	270047	4.996898906	0
A	A01	A016	A0163	107	10701	1	6140803.09	108315.78	270047	6.788225242	5.034695741
A	A01	A016	A0163	107	10701	2	9910599.86	5994533.61	270047	6.996099986	6.777755472
A	A02	A021	A0210	107	10701	1	6150	0	270047	3.788945727	0
A	A02	A022	A0220	107	10701	2	15782.97	33368.76	270047	4.198216247	4.523353083
A	A02	A024	A0240	107	10701	1	87900.98	62771.44	270047	4.943998658	4.79776901
A	A02	A024	A0240	107	10701	2	134598.64	14035.06	270047	5.129043898	4.147245216
A	A03	A031	A0311	107	10701	1	1642244.25	956550.22	270047	6.215438014	5.98070823
A	A03	A031	A0311	107	10701	2	1088155.35	1011929.85	270047	6.036691301	6.005150836
A	A03	A031	A0312	107	10701	1	261908.92	340022.6	270047	5.418151948	5.531509061
A	A03	A032	A0321	107	10701	1	62677487.1	46080272.62	270047	7.797111583	7.663515049
A	A03	A032	A0321	107	10701	2	340445335	270583014.5	270047	8.532047389	8.432300532
A	A03	A032	A0322	107	10701	1	191672.47	0	270047	5.282562005	0
A	A03	A032	A0322	107	10701	2	6794722.77	7408451.59	270047	6.832171806	6.869727506
A	A01	A011	A0111	107	10702	1	36270.17	0	30129	4.559561565	0
A	A01	A011	A0112	107	10702	1	1863626.74	513756.78	30129	6.270359166	5.710758412
A	A01	A011	A0113	107	10702	1	4625	0	30129	3.665205628	0
A	A01	A012	A0122	107	10702	1	12963470.3	5670105.45	30129	7.112721311	6.753591212
A	A01	A012	A0123	107	10702	1	284682.13	128.13	30129	5.454361732	2.111027151
A	A01	A012	A0127	107	10702	1	507675.76	67298.7	30129	5.705587283	4.828013128
A	A01	A013	A0130	107	10702	1	37706.75	0	30129	4.576430619	0
A	A01	A014	A0141	107	10702	1	225904.01	0	30129	5.353925863	0
A	A01	A014	A0141	107	10702	2	134845.24	132003.07	30129	5.129838841	5.120587322
A	A01	A014	A0145	107	10702	1	18699.04	206022.07	30129	4.271842536	5.313915854
A	A01	A014	A0146	107	10702	1	13652.32	0	30129	4.135238269	0
A	A01	A016	A0163	107	10702	1	1529222.21	1792641.57	30129	6.184470881	6.253493705
A	A02	A021	A0210	107	10702	1	9130.44	0	30129	3.96053927	0
A	A03	A031	A0311	107	10702	1	7926.32	0	30129	3.89912639	0
A	A03	A032	A0321	107	10702	1	6442346.84	4537141.41	30129	6.80904417	6.656782411
A	A03	A032	A0321	107	10702	2	4508094.14	3624693.98	30129	6.653993073	6.559271466
A	A03	A032	A0322	107	10702	1	7922.5	0	30129	3.898917062	0
A	A01	A011	A0111	107	10703	1	28500	0	6254	4.454860098	0
A	A01	A014	A0141	107	10703	1	46774.69	7778.25	6254	4.670020203	3.890937729
A	A01	A014	A0145	107	10703	1	37373.73	0	6254	4.572578064	0
A	A01	A014	A0146	107	10703	1	288067.1	291806.11	6254	5.459495168	5.465095869
A	A01	A015	A0150	107	10703	1	16229.8	0	6254	4.210339926	0
A	A01	A014	A0141	107	10704	1	500885.66	258488.51	7923	5.699739465	5.412442923
A	A01	A014	A0145	107	10704	1	351866.06	123059.78	7923	5.546378612	5.090119663
A	A01	A014	A0146	107	10704	1	11887270.66	24759018.58	7923	7.075082188	7.393733443
A	A01	A014	A0146	107	10704	2	1472172.84	2208102.26	7923	6.167959096	6.344019379
A	A01	A016	A0163	107	10704	1	305.64	0	7923	2.486628806	0
A	A01	A012	A0122	107	10705	1	503186.62	119266.53	2526	5.701729948	5.076522225
A	A01	A012	A0127	107	10705	1	12020.88	0	2526	4.079972389	0
A	A01	A014	A0141	107	10705	1	7349.39	0	2526	3.866310383	0
A	A01	A016	A0163	107	10705	1	1037.05	0	2526	3.016218273	0
A	A01	A011	A0112	107	10706	2	10656	430721.46	56559	4.027634966	5.634197519
A	A01	A011	A0114	107	10706	2	27440	18104.1	56559	4.438399934	4.257800928
A	A01	A012	A0122	107	10706	1	116504914.5	45536725.52	56559	8.066344249	7.658361807
A	A01	A012	A0122	107	10706	2	21952947.98	11652447	56559	7.341492868	7.066417174
A	A01	A012	A0127	107	10706	1	639142.74	0	56559	5.80559854	0
A	A01	A012	A0129	107	10706	2	20898.4	210	56559	4.320133818	2.324282455
A	A01	A014	A0141	107	10706	1	58624.5	0	56559	4.76808656	0
A	A01	A014	A0141	107	10706	2	6996.56	3553.5	56559	3.844946631	3.550778519
A	A01	A014	A0146	107	10706	1	27883.81	0	56559	4.44536769	0
A	A01	A016	A0161	107	10706	1	10800	0	56559	4.033463966	0
A	A01	A016	A0162	107	10706	1	6850	0	56559	3.835753968	0
A	A01	A016	A0163	107	10706	1	4154743.93	0	56559	6.618544367	0
A	A01	A016	A0163	107	10706	2	11532657.32	6120863.03	56559	7.061929425	6.786812732
A	A03	A031	A0311	107	10706	1	8.93	0	56559	0.996949248	0
A	A03	A032	A0321	107	10706	1	18029210.79	12150202.52	56559	7.25597674	7.084583553
A	A03	A032	A0321	107	10706	2	41110444.79	33321956.65	56559	7.613952186	7.522730508
A	A03	A032	A0322	107	10706	2	56	0	56559	1.755874856	0
A	A01	A011	A0113	107	10707	1	12577.21	0	54272	4.099618841	0
A	A01	A012	A0122	107	10707	1	1232.3	6842.5	54272	3.091068732	3.835278272
A	A01	A012	A0123	107	10707	1	6150	0	54272	3.788945727	0
A	A01	A013	A0130	107	10707	1	3931.1	0	54272	3.594624554	0
A	A01	A014	A0145	107	10707	1	264965.86	602907.46	54272	5.423191559	5.780251378
A	A01	A014	A0145	107	10707	2	803.32	313998.73	54272	2.905428868	5.496929275
A	A01	A014	A0149	107	10707	1	91556	580139.84	54272	4.961691554	5.763533439
A	A01	A016	A0163	107	10707	1	63985	0	54272	4.806084962	0
A	A03	A031	A0311	107	10707	1	59574.48	50	54272	4.77506755	1.707570176
A	A03	A032	A0321	107	10707	1	19997647.04	14555852.92	54272	7.30097892	7.163037688
A	A03	A032	A0321	107	10707	2	8067713.6	6604473.02	54272	6.906750526	6.819838236
A	A03	A032	A0322	107	10707	1	36488.1	0	54272	4.562163152	0
A	A01	A012	A0127	107	10708	1	1497.6	0	5932	3.175685728	0
A	A01	A012	A0129	107	10708	1	2000	0	5932	3.301247089	0
A	A01	A014	A0141	107	10708	1	855911.66	1867002.89	5932	5.93242945	6.271145223
A	A01	A014	A0144	107	10708	1	24511	0	5932	4.389378748	0
A	A01	A014	A0145	107	10708	1	630693.21	1538844.94	5932	5.799818844	6.187195143
A	A01	A014	A0146	107	10708	1	6742.6	0	5932	3.828891802	0
A	A01	A011	A0111	107	10709	1	5672.73	0	80674	3.753868665	0
A	A01	A011	A0112	107	10709	1	5996	0	80674	3.777934049	0
A	A01	A012	A0122	107	10709	1	53297615.06	19170618.25	80674	7.726707784	7.282636142
A	A01	A012	A0122	107	10709	2	6217977.53	1909472.94	80674	6.793649218	6.280913736
A	A01	A012	A0127	107	10709	1	1592169.48	266288.92	80674	6.201989568	5.425354727
A	A01	A013	A0130	107	10709	1	1436.65	0	80674	3.157653169	0
A	A01	A014	A0141	107	10709	1	89308.84	0	80674	4.950899311	0
A	A01	A014	A0141	107	10709	2	4879.09	166.57	80674	3.688427831	2.22419627
A	A01	A014	A0145	107	10709	1	2340	0	80674	3.369401414	0
A	A01	A014	A0145	107	10709	2	18527	89141.53	80674	4.267828542	4.950084956
A	A01	A014	A0146	107	10709	1	4298	0	80674	3.633367445	0
A	A01	A016	A0161	107	10709	1	18472.25	0	80674	4.266543308	0
A	A01	A016	A0162	107	10709	1	84600	0	80674	4.927375497	0
A	A01	A016	A0163	107	10709	1	1402996.28	0	80674	6.147056829	0
A	A01	A016	A0164	107	10709	1	1800	0	80674	3.255513713	0
A	A02	A024	A0240	107	10709	1	35837.46	0	80674	4.554349339	0
A	A03	A031	A0311	107	10709	1	64461.25	0	80674	4.80930546	0
A	A03	A032	A0321	107	10709	1	378678.38	173063.07	80674	5.578271657	5.238206913
A	A03	A032	A0321	107	10709	2	6736010.84	5071592.75	80674	6.828402842	6.705144458
A	A01	A011	A0111	107	10710	1	324.81	0	28411	2.51296441	0
A	A01	A011	A0114	107	10710	1	7739.2	0	28411	3.888752183	0
A	A01	A012	A0122	107	10710	1	205564.09	784009.28	28411	5.312949363	5.894321757
A	A01	A012	A0127	107	10710	1	143653.7	0	28411	5.15731984	0
A	A01	A012	A0127	107	10710	2	28125	110234.15	28411	4.449107972	5.042320097
A	A01	A014	A0141	107	10710	1	677464.74	618273.53	28411	5.830887337	5.791181356
A	A01	A014	A0145	107	10710	1	1221160.87	1091279.3	28411	6.086773235	6.037936315
A	A01	A014	A0146	107	10710	1	5953626.31	12588652.33	28411	6.774781645	7.099979274
A	A01	A014	A0146	107	10710	2	700972.29	1073037.9	28411	5.84570147	6.030615466
A	A01	A016	A0163	107	10710	1	700	0	28411	2.845718018	0
A	A02	A021	A0210	107	10710	1	48353.64	0	28411	4.684438154	0
A	A01	A011	A0114	107	10711	1	16.96	0	13284	1.254306332	0
A	A01	A012	A0127	107	10711	1	7188	0	13284	3.856668484	0
A	A01	A014	A0141	107	10711	1	181.72	0	13284	2.261786087	0
A	A01	A014	A0145	107	10711	1	4568.9	0	13284	3.659906697	0
A	A01	A014	A0146	107	10711	1	55.58	0	13284	1.752662943	0
A	A01	A011	A0112	107	10712	1	252861.5	0	76148	5.402884427	0
A	A01	A011	A0114	107	10712	1	2539.68	0	76148	3.404949969	0
A	A01	A012	A0122	107	10712	1	31704815.08	15327515.2	76148	7.501125238	7.185471784
A	A01	A012	A0122	107	10712	2	6892617.74	1975462.86	76148	6.838384256	6.295669089
A	A01	A012	A0127	107	10712	1	554319.27	0	76148	5.74376076	0
A	A01	A012	A0129	107	10712	1	3810	0	76148	3.581038949	0
A	A01	A013	A0130	107	10712	1	4853	0	76148	3.686099772	0
A	A01	A014	A0141	107	10712	1	159461.84	80042.37	76148	5.202659495	4.903325365
A	A01	A014	A0144	107	10712	1	1944289.29	860223.82	76148	6.288761107	5.934611969
A	A01	A014	A0145	107	10712	1	2153	0	76148	3.333245699	0
A	A01	A014	A0146	107	10712	1	44149.79	144027.75	76148	4.644938479	5.158449192
A	A01	A016	A0161	107	10712	1	62588.83	0	76148	4.796503772	0
A	A01	A016	A0163	107	10712	1	587003.54	0	76148	5.76864146	0
A	A01	A016	A0163	107	10712	2	10760.86	51752.89	76148	4.031887338	4.713942998
A	A01	A016	A0164	107	10712	1	3364.56	0	76148	3.527057337	0
A	A02	A024	A0240	107	10712	1	59155	0	76148	4.7719988	0
