n1	n2	n3	n4	code_province	code_city	c_area	exports	imports	population
C	C12	C120	C1200	217	21701	2	70872936.27	92323.24491	2505344
H	H49	H493	H4930	217	21701	2	17959078.91	386629.4458	2505344
C	C10	C108	C1080	109	10920	2	12077516.27	134107.546	68974
C	C29	C291	C2910	218	21801	2	10055852.16	33222.17043	360544
B	B06	B062	B0620	217	21701	2	9147469.247	778924.8304	2505344
B	B06	B061	B0610	217	21701	2	8348432.248	930866.463	2505344
B	B09	B091	B0910	321	32101	2	6089299.708	37450.28865	104317
E	E38	E381	E3811	109	10916	2	5305458.74	28081.43154	81388
F	F42	F422	F4220	223	22301	2	5214010.48	34892.98012	411009
C	C11	C110	C1103	109	10901	2	4818650.701	286478.3209	2560505
B	B06	B061	B0610	109	10901	2	4105214.48	148.2778571	2560505
C	C28	C281	C2815	108	10801	2	3884758.887	33038.06048	206298
C	C17	C170	C1701	109	10907	2	3842314.865	128382.7509	271085
C	C10	C103	C1030	217	21703	2	3498756.54	10299.01761	93353
A	A01	A014	A0146	109	10920	1	3417970.23	22473.87143	68974
A	A01	A012	A0122	109	10927	2	3152353.5	6348.328851	11876
A	A01	A012	A0126	113	11309	2	3081623.402	37549.57316	85068
K	K64	K649	K6499	109	10916	2	2613559.573	16530.43564	81388
N	N82	N821	N8211	223	22301	2	2604420.49	33349.47354	411009
A	A03	A032	A0321	109	10909	1	2579767.37	0	51380
F	F42	F421	F4210	113	11314	2	2292183.08	0	60934
A	A01	A014	A0146	109	10916	2	2170311.97	277840.6167	81388
F	F42	F422	F4220	217	21701	2	2162507.855	95085.554	2505344
C	C32	C329	C3290	112	11205	2	2024013.423	12859.58749	193308
C	C29	C291	C2910	217	21701	2	2003069.747	214090.1174	2505344
A	A01	A012	A0127	109	10911	2	1990021.257	35671.43799	80189
M	M70	M701	M7010	217	21703	2	1965536.51	37269.04623	93353
O	O84	O843	O8430	217	21701	2	1930819.517	280562.9814	2505344
L	L68	L682	L6820	112	11202	2	1902351.629	45917.88712	42278
A	A01	A014	A0146	109	10927	1	1884369.633	43092.00179	11876
A	A01	A014	A0146	217	21704	2	1852819.955	37483.56473	37802
A	A01	A014	A0146	109	10906	2	1817568.9	48751.21356	142287
F	F42	F429	F4290	210	21001	2	1800517.23	7590.028125	201237
G	G46	G462	G4620	109	10909	2	1783096.127	72199.69875	51380
A	A03	A031	A0312	109	10907	2	1766685.537	84779.93083	271085
F	F42	F421	F4210	124	12403	2	1717125	6639.818095	79734
B	B09	B091	B0910	217	21701	2	1705136.243	105241.7312	2505344
C	C26	C264	C2640	109	10907	2	1666632.941	33917.8901	271085
A	A03	A032	A0321	113	11308	2	1660310.243	13401.73029	247463
A	A01	A014	A0146	206	20610	1	1594637.019	39425.61701	15077
F	F42	F421	F4210	113	11301	2	1574094.071	56661.8932	304227
A	A02	A022	A0220	217	21701	2	1549431.349	23291.99276	2505344
E	E38	E381	E3811	223	22301	2	1493419.15	11383.6114	411009
C	C10	C104	C1040	217	21709	2	1475527.427	57288.04505	22710
A	A03	A032	A0321	107	10701	2	1436478.207	48378.86903	270047
F	F42	F422	F4220	314	31406	2	1433391.17	15562.50805	21002
F	F42	F421	F4210	113	11322	2	1432523.305	0	23746
A	A01	A012	A0122	112	11201	2	1418772.293	28747.91305	166350
E	E38	E383	E3830	218	21801	2	1356418.4	24513.12448	360544
C	C23	C239	C2394	217	21701	2	1348033.291	168901.7107	2505344
F	F41	F410	F4100	108	10803	2	1343264.01	0	30366
F	F42	F422	F4220	315	31501	2	1288384.953	12654.27759	69202
G	G47	G472	G4722	315	31504	1	1276262.16	0	8978
C	C11	C110	C1102	201	20101	2	1193353.768	46820.66294	569416
A	A01	A014	A0146	204	20404	1	1176608.7	17587.53568	12504
A	A03	A032	A0321	109	10901	2	1171223.485	158440.3779	2560505
C	C11	C110	C1101	113	11301	2	1163487.583	21796.01523	304227
C	C33	C331	C3312	108	10801	2	1125619.345	19698.54365	206298
C	C16	C162	C1623	201	20101	2	1108488.6	0	569416
F	F43	F431	F4311	217	21701	2	1105424.71	23081.04489	2505344
O	O84	O841	O8413	109	10907	2	1097476.433	4235.727291	271085
H	H50	H501	H5012	108	10801	2	1093410.822	125632.7022	206298
A	A03	A031	A0311	113	11308	2	1053991.562	92547.82583	247463
C	C26	C265	C2651	109	10916	2	1048305.746	39771.37053	81388
A	A01	A012	A0127	109	10908	2	1018685.82	2307.93	81024
G	G46	G463	G4630	107	10702	2	1004833.448	216851.0318	30129
A	A01	A012	A0122	109	10920	2	994220.5967	7744.295661	68974
C	C23	C239	C2394	109	10901	2	959747.6147	420307.848	2560505
A	A03	A032	A0321	201	20101	2	948383.99	7021.049153	569416
S	S94	S941	S9412	109	10916	2	947777.56	2284.216667	81388
H	H52	H521	H5210	201	20101	2	928863.9729	24691.99862	569416
A	A01	A012	A0122	109	10914	2	919297.975	5815.680963	47824
A	A03	A031	A0311	113	11321	2	914307.1125	36407.5392	22399
A	A01	A012	A0122	109	10923	2	911636.823	12043.71988	12816
A	A01	A016	A0163	112	11210	2	911458.47	4518.2192	72263
M	M71	M711	M7110	211	21114	1	902333.4838	35083.7128	9626
A	A03	A031	A0311	109	10916	2	900144.0048	36286.09075	81388
A	A03	A032	A0321	107	10706	2	893705.3215	21581.57814	56559
G	G46	G462	G4620	109	10908	2	890417.3867	15126.67122	81024
N	N78	N782	N7820	217	21701	2	882647.1893	477940.0084	2505344
A	A01	A014	A0146	223	22302	2	879443.2033	27929.26268	46502
A	A03	A032	A0321	109	10911	2	870114.2347	28210.04568	80189
S	S94	S949	S9499	107	10704	2	863849.0045	101923.4503	7923
G	G46	G463	G4630	112	11206	2	862484.776	86705.12216	31393
C	C28	C281	C2812	217	21701	2	861093.1453	41857.73552	2505344
C	C10	C102	C1020	109	10920	2	860421.7385	16118.07502	68974
A	A01	A012	A0122	109	10901	2	855699.2469	83994.49615	2560505
C	C24	C242	C2420	319	31909	1	848467.565	0	4724
A	A01	A015	A0150	205	20504	2	847546.9333	30076.89729	75179
C	C20	C201	C2013	109	10914	2	845208.885	8899.842552	47824
S	S94	S942	S9420	218	21806	2	844580.9267	25127.57455	20303
A	A01	A012	A0122	109	10911	2	836048.1129	18111.53639	80189
C	C10	C102	C1020	113	11308	2	834190.0665	166610.6127	247463
A	A01	A011	A0111	217	21701	2	830378.7748	31297.28716	2505344
A	A01	A015	A0150	112	11205	2	826260.348	30944.67294	193308
C	C22	C221	C2211	201	20101	2	823501.6679	75102.74724	569416
N	N82	N822	N8220	109	10901	2	813256.4442	32931.09049	2560505
F	F42	F422	F4220	107	10712	1	812539.395	12123.54604	76148
B	B08	B081	B0810	210	21004	2	809485.2569	33898.07706	115725
C	C29	C292	C2920	205	20501	2	809017.67	20516.57642	188627
G	G46	G469	G4690	109	10928	2	808935.6143	119179.6796	12506
C	C11	C110	C1101	201	20101	2	806821.8372	9007.774246	569416
A	A03	A032	A0321	109	10907	1	798417.6786	0	271085
A	A01	A012	A0122	107	10712	2	765846.4156	7426.552105	76148
G	G46	G463	G4630	109	10909	2	761684.8125	44265.46577	51380
A	A01	A014	A0145	109	10928	2	758383.1075	78607.83763	12506
A	A01	A014	A0146	203	20304	2	757804.04	11128.43194	64256
C	C25	C252	C2520	217	21701	2	757000	93915.925	2505344
F	F41	F410	F4100	321	32104	2	755717.1725	15454.19116	50456
F	F42	F422	F4220	205	20503	2	743076.47	5688.908947	23642
F	F43	F439	F4390	314	31409	1	738230.79	0	22028
S	S94	S949	S9499	203	20303	2	737752.81	28726.86558	65068
A	A01	A012	A0122	109	10916	2	737390.3147	54490.37443	81388
B	B08	B081	B0810	109	10913	1	736338.58	0	17440
A	A01	A012	A0122	112	11212	2	731752.243	6949.478136	41373
F	F43	F439	F4390	210	21004	2	723805.805	11167.69713	115725
F	F43	F431	F4312	109	10907	2	714146.6147	0	271085
F	F42	F421	F4210	124	12402	2	710998.9333	13408.10526	106694
A	A01	A012	A0122	107	10706	2	708159.6123	10106.19861	56559
A	A01	A014	A0141	107	10701	2	704154	4251.091087	270047
M	M71	M711	M7110	210	21006	2	701017.49	14275.25649	16851
A	A01	A015	A0150	109	10920	2	697293.292	13085.86364	68974
G	G46	G463	G4630	107	10712	2	694661.0859	126306.4679	76148
H	H52	H522	H5229	205	20501	2	690914.6667	10245.39176	188627
C	C10	C104	C1040	322	32201	2	688699.3796	29697.5159	82001
			Z	999	99999	2	683140.2476	0	
A	A01	A012	A0122	107	10701	2	679951.885	24374.98611	270047
C	C27	C275	C2750	201	20101	2	678909.1722	79958.71252	569416
A	A01	A015	A0150	203	20303	2	673521.4	269.3425	65068
B	B07	B071	B0710	109	10901	1	668970.088	9078.891532	2560505
A	A01	A016	A0163	124	12402	2	666485	25005.21977	106694
A	A03	A031	A0311	109	10901	2	653370.9962	225135.9199	2560505
C	C18	C182	C1820	109	10916	2	652308.2775	16388.83443	81388
F	F42	F421	F4210	314	31401	2	652187.238	14834.70152	48712
S	S94	S941	S9411	109	10911	2	648675.025	13992.57527	80189
C	C27	C273	C2731	217	21701	2	646696.8688	5977.738315	2505344
A	A01	A012	A0122	112	11202	2	645277.4217	12788.2266	42278
A	A01	A014	A0146	109	10921	1	645211.34	12212.88308	49311
M	M71	M711	M7110	124	12401	2	640273.2225	37053.27188	164196
A	A01	A014	A0146	217	21704	1	639823.2083	31598.28523	37802
D	D35	D351	D3510	109	10910	2	627546.7384	35384.00229	183848
F	F42	F421	F4210	113	11315	2	623489.842	5791.662043	41023
A	A01	A011	A0114	109	10920	2	607597.72	8121.826304	68974
A	A01	A014	A0146	109	10911	1	599784.31	14435.77748	80189
F	F43	F433	F4330	217	21705	2	599614.745	11372.61813	98943
C	C10	C105	C1050	203	20303	2	599585.5206	99868.22492	65068
A	A01	A014	A0146	211	21101	2	597963.004	24731.2712	243321
S	S94	S942	S9420	112	11207	2	593420.2379	52709.04645	71739
C	C10	C105	C1050	203	20305	2	590739.5912	38944.47809	10897
G	G46	G466	G4661	113	11309	2	589269.3317	84326.64908	85068
C	C10	C102	C1020	217	21701	2	586096.502	72236.67232	2505344
G	G47	G472	G4721	107	10704	2	579633.5667	16005.1458	7923
N	N77	N773	N7730	322	32201	2	576859.603	25052.60112	82001
F	F42	F422	F4220	319	31901	2	573581.8225	4903.206031	29112
A	A01	A014	A0146	210	21006	1	571304.88	18799.55508	16851
A	A01	A012	A0126	217	21701	2	571176.3033	22048.63555	2505344
A	A01	A012	A0122	112	11205	2	570537.7349	26354.79131	193308
A	A01	A012	A0122	107	10701	1	569334.3919	23607.88999	270047
A	A03	A032	A0321	109	10903	2	567018.805	21806.64141	23228
F	F41	F410	F4100	113	11302	2	566762.29	5605.974043	43785
A	A03	A031	A0311	113	11308	1	566033.2291	28563.76717	247463
C	C10	C107	C1072	203	20304	2	563627.0437	53518.80562	64256
A	A03	A032	A0321	107	10709	2	561334.2367	12075.22083	80674
A	A01	A012	A0122	107	10709	1	561027.5269	14534.20641	80674
G	G46	G466	G4662	109	10916	2	559008.3713	2608.966753	81388
A	A01	A011	A0114	109	10910	2	557767.0664	16751.53704	183848
A	A01	A012	A0122	107	10706	1	557439.7822	23903.79292	56559
J	J60	J602	J6020	109	10901	2	553751.2073	44981.51246	2560505
M	M70	M702	M7020	109	10906	2	551673.7378	24737.3288	142287
M	M71	M711	M7110	314	31407	1	549302.4467	11322.53425	10142
F	F42	F421	F4210	113	11308	2	538173.4082	34905.03339	247463
C	C10	C107	C1079	113	11309	2	535253.0385	71331.38076	85068
A	A01	A016	A0163	211	21103	2	533372.4835	21170.11953	33632
S	S96	S960	S9609	322	32203	2	531613.334	4228.613212	39182
A	A01	A014	A0146	217	21701	2	530857.8234	277792.6254	2505344
O	O84	O842	O8423	108	10801	2	528142.3264	20751.68336	206298
D	D35	D351	D3510	201	20101	2	527859.0771	365826.399	569416
F	F42	F429	F4290	321	32101	2	527672	20059.7712	104317
F	F42	F421	F4210	206	20601	2	525589.8692	14214.26507	246861
F	F42	F422	F4220	210	21001	2	520368.7383	7489.137093	201237
A	A01	A012	A0122	112	11210	2	517561.1278	9679.738102	72263
F	F42	F421	F4210	109	10904	1	513708.246	7366.91	57953
C	C10	C104	C1040	108	10804	2	512937.9675	56543.02642	134973
A	A01	A015	A0150	109	10907	2	508916.89	0	271085
F	F41	F410	F4100	218	21809	2	508140.89	6641.157347	13289
A	A03	A031	A0311	109	10921	2	498409.75	12372.86028	49311
C	C11	C110	C1101	218	21805	2	495551.235	5302.195882	14745
C	C10	C104	C1040	112	11205	2	494858.4059	80136.88036	193308
A	A01	A011	A0114	109	10901	2	492589.1877	8081.008568	2560505
J	J63	J631	J6312	109	10901	2	488596.2911	21591.9168	2560505
