n1	n2	n3	n4	exports	imports	n_suppliers	total_trans_cl	n_clients	total_trans_sp	distance_m_cl	distance_m_sp
A	A01	A011	A0111	713413.0245	396770.4404	82.39616613	600100.6127	2.782238819	45670.53033	63405.662	77909.31862
A	A01	A011	A0112	1389502.443	416145.7155	59.04707986	266297.1896	2.572639173	57245.45488	41955.20359	59928.22069
A	A01	A011	A0113	291309.4125	213240.023	79.90456853	324047.7269	3.162943495	43037.17734	59891.98292	63481.51972
A	A01	A011	A0114	606155.3682	257856.3962	73.16456922	192014.5516	4.886942675	46735.12769	46475.33575	71214.99533
A	A01	A011	A0115	213182.3983	641203.9453	239.7325581	1556191.703	1.126120741	19572.69443	48357.3815	341060.6799
A	A01	A011	A0116	113658.1638	108342.6445	112.0673077	263458.4511	2.726872247	42453.30797	62094.60412	80543.0858
A	A01	A011	A0119	412831.8118	3725660.1	188.629068	1043717.185	6.267198873	103608.0765	47909.50074	39339.21416
A	A01	A012	A0121	73648.57228	11302.92195	55.42307692	103030.193	2.529457364	21790.64471	63863.86535	54677.4728
A	A01	A012	A0122	5516077.056	3748881.702	122.206213	749029.3014	3.927560351	229661.3074	46509.31826	67655.69923
A	A01	A012	A0123	66433.9578	17943.79404	61.11711712	78195.32973	2.895765472	28848.66179	85203.36601	72015.68305
A	A01	A012	A0124	27747.38263	5630.721754	38.88888889	42515.93	2.607142857	24174.48595	65763.41538	67932.90457
A	A01	A012	A0125	24383.69472	1780.957143	39.8	28655.7575	2.726804124	12021.95637	28419.98543	89448.8004
A	A01	A012	A0126	2657211.533	1321988.909	108.3536421	283127.2652	2.476133048	60294.98653	115520.0917	80506.63797
A	A01	A012	A0127	491587.2297	203156.2409	76.01944895	348718.3801	2.674863855	26103.18774	58001.67626	53464.42599
A	A01	A012	A0128	33602.23479	10318.73639	53.02985075	57732.83642	2.146173149	13733.2444	65423.99396	77439.86995
A	A01	A012	A0129	434329.7406	217113.3832	98.26086957	235963.7657	3.389828337	65083.17108	72726.42362	77382.41323
A	A01	A013	A0130	72859.45422	132118.0153	126.8461538	404903.7842	5.461838006	22640.86722	59742.88354	67365.88895
A	A01	A014	A0141	684972.8303	239277.9202	75.97833301	161309.0716	2.364412563	35155.439	66470.40866	54327.07157
A	A01	A014	A0142	13798.45277	41099.79128	30.2	55381.09618	10.5890411	52517.57082	14026.15477	29067.8803
A	A01	A014	A0143	9469.1895	49562.7385	66.30769231	101127.8754	3.55	15571.9955	43947.32259	28902.7979
A	A01	A014	A0144	59502.18647	21425.28888	54.57142857	106915.0548	2.368705036	31127.81126	54428.2419	46110.1887
A	A01	A014	A0145	59094.11633	77904.77621	72.34527687	401963.4882	3.206881812	21036.5525	80172.44234	95572.07314
A	A01	A014	A0146	5993042.724	4668137.171	114.6132644	2656691.206	9.59779395	1256454.542	76682.39006	73039.17185
A	A01	A014	A0149	52838.29117	33908.58129	57.1059322	130582.0818	4.099132024	21386.04206	46353.59074	54977.41009
A	A01	A015	A0150	641465.1827	1385494.761	89.63015075	902467.3804	7.303023516	171404.254	43780.85382	86641.2187
A	A01	A016	A0161	242689.8493	131610.7782	94.3038674	430666.9139	8.118321979	111565.9491	42248.37249	64844.48868
A	A01	A016	A0162	139728.1963	6498.454747	70.48529412	65611.07809	2.280685921	26854.78529	45661.58253	55696.38188
A	A01	A016	A0163	919772.5515	948580.0774	88.60336842	704042.7105	4.657956989	114594.0792	38110.9295	50249.24207
