code	City	Company_Name	Main_Activity	Operating_Revenue	Total_Assets	Revenue_Range	No_of_Companies	Shareholder_Name	Shareholder_Country	CEO_Name
EC20737	Quito	Mutualista Pichincha	Services	60319	605504	43674	0			N/A
EC20730	Cuenca	Cooperativa De Ahorro Y Credito Juventud Ecuatoriana Progresista Ltda	Services	59854	828927	43674	0			Levy Molina
EC0991313788001	Manta	Asiservy S.A.	Manufacturing; Wholesale	57206	54977	43674	0	Mr Gustavo Vinicio Nunez Marquez		Mr Carlos Alfredo Nunez Herrera
EC1790971937001	Quito	Provefrut S.A.	Manufacturing	57112	40048	43674	3	Nintanga S.A., South American Frozen Foods Llp	GB,EC	Mr Alfred Lawrence Zeller Starcewich
EC54343	Quito	Interdin S.A	Manufacturing	56670	124652	43674	0			N/A
EC30161LE	Guayaquil	Dismedsa S.A.	Services	56073	79768	43674	0			Ms Gina Patricia Pardo Navarrete
EC0990006164001	Guayaquil	Etica Empresa Turistica Internacional C.A.	Services	55254	60201	43674	4	Metrocorp International, Mr Simon Sevilla Larrea Roque	KY,EC	Mr Roque Simon Sevilla Larrea
EC0990022453001	Guayaquil	Compania De Seguros Ecuatoriano-Suiza Sa	Services	54409	56188	43674	2	Ceramix S.A., Haesuiza S.A.	EC	N/A
EC0992142618001	Guayaquil	Avicola Fernandez S.A.	Manufacturing	54071	42068	43674	2	Fernandez Zambrano Eugenio De Jesus, Mrs Kenya Katherine Fernandez Escobar	EC	Mera Abercio Kuonqui
EC0990697000001	Guayaquil	Mapfre Atlas Compania De Seguros Sa	Services	52528	55061	43674	372	Fedalmar S.A., Inmobiliaria E Inversionista Margana Cia Ltda, Inversionista Felco Sa, Mapfre Internacional Sociedad Anonima., Mapfre Sa, Mr Florentino Briz Munos, Mr Galo Cabezas Martinez, Mr Juan Martin Schotel Hidalgo, Predial Las Colinas S.A., Senoicca Industrial S.A.	EC,ES	N/A
EC0992697415001	Guayaquil	Surpapelcorp S.A.	Manufacturing	51992	142621	43674	6	Banco Del Instituto Ecuatoriano De Seguridad Social, Comercializadora De Papeles Y Cartones Surpapel S.A., Congregacion Educacional Del Verbo Divino En El Ecuador, Fideicomiso Mercantil Numero 1 M-02-011-03 Fondo Ambiental Nacional-Fan, International Packaging Systems Holdings CoÌ£ÒÌ£_Ì£ÒÌ¢åPeratief U.A., Mr Oscar Illingworth Guerrero, Mr Pedro Antonio Huerta Barros, Mrs Carmen Del Mar Grijalva Guadamud Solanda, Mrs Marta Ruth Beals De Espinoza, Rio Grande Forestal (Riverforest) S.A., Servicio De Cesantia De La Policia Nacional, Stup S.A.	AR,NL,EC,CL	Mr Pedro Antonio Huerta Barros
EC0990344760001	Guayaquil	Quimpac Ecuador S.A	Manufacturing	51435	50626	43674	0			Mr Arturo Jose Orrantia Santos
EC0990015449001	Guayaquil	Intaco Ecuador S.A.	Wholesale	51128	65131	43674	3	Ametco Group Llc, Kobalto Holding Co. Llc, Mr Kristel Kathrein Duenas Amrhein	CR,US	Mr Marcos Alberto Duenas Leiva
EC0990013497001	Guayaquil	Plasticos Ecuatorianos S.A	Manufacturing	49589	49477	43674	53	Arca Continental, S.A.B. De C.V., Betal Invest & Trade Ltda, Holding Tonicorp S.A., Industrias Lacteas Toni Sa	MX,EC,GB	Mr Carlos Anibal Inca Torres
EC0990010110001	Guayaquil	Almacenes Boyaca S.A.	Wholesale	47843	52419	43674	0	Jomafe Llc	US	Mr Jose Antonio Barciona Chedraui
EC0992426357001	Guayaquil	Corporacion Celeste S.A.	Services	47772	73088	43674	2	Dismedsa Cia.Ltda.,  South American Real Estate Investors Corporation.	PA,EC	Mr Enrique Augusto Tamariz Amador
EC0690000261001	Quito	Cemento Chimborazo C.A.	0	47350	113053	43674	0			0
EC0991284214001	Guayaquil	Diteca S.A.	Wholesale; Services	47092	63533	43674	2	Diteca Holdings Llc, Mr Alfredo Jose Ortega Maldonado	EC,US	Mr Alfredo Jose Ortega Maldonado
EC1790003388001	Quito	Cepsa S.A.	Wholesale	46038	35858	43674	2	Global Oil & Tire Company Llc, Mr Hernando Chiriboga Davalos	EC,US	Ms Rosario Guadalupe Espinosa Cordova
EC0991265414001	Samborondon	Delcorp Sa	Manufacturing	45486	43217	43674	3	Estate Holding Assets Llc, Mr Ivan Goldstein Valdez Gad	EC,US	Mr Gad Ivan Goldstein Valdez
EC1790013502001	Quito	Laboratorios Industriales Farmaceuticos Ecuatorianos Life C.A.	Manufacturing	45430	50199	43674	3	Direccion Provincial De Salud De Pichincha, Ministerio De Salud Publica Del Ecuador,  Pharmex Limited Sociedad Anonima	CR,EC	Mr Xavier Felix Simon Isaias
EC54298	Quito	M.M. Jaramillo Arteaga	Services	45305	825430	43674	0			N/A
