code	no_of_companies	shareholder_Name	shareholder_Country
EC1768153530001	37	Ministerio De Hidrocarburos	EC
EC1790016919001	5	Advantage Allied Partners Sociedad Anonima, Agm Investing Inc., Alcazar Holdings, Llc, Arhus Universal Corp., Arisaig Latin America Fund Llc., Bargello Holdings, Llc, Beagle Paw Sociedad Anonima, Castile Holdings Llc, Daroco Holdings Llc, Empresa De Inversion Sagitario Eminsa Corp Sociedad Anonima, Empronorte Overseas Inc., Fininvest Overseas Inc., Fonseca Holdings Llc, Frow Holdings, Llc, Girasol Holdings Llc, Glion Investment Group Llc, Good Sheppard Investments Llc, Harlano Holdings Llc., Isla Dorada Holdings, Llc, Journey Holdings, Llc, Marias Orchard Holdings Llc, Maynada Holdings Llc, Skye Partners Limited Via Its Funds, Tierra Maxima Trust, Wesf Assets Foundation Llc	CR, VG, US, PA, VG, US, CR, US, US, CR, PA, PA, US, US, US, US, US, US, US, ES, US, US, MU, US, US
EC1790010937001	14	Fideicomiso Acciones Bp Cinco, Fideicomiso Acciones Bp Cuatro, Fideicomiso Acciones Bp Diez, Fideicomiso Acciones Bp Dos, Fideicomiso Acciones Bp Nueve, Fideicomiso Acciones Bp Ocho, Fideicomiso Acciones Bp Seis, Fideicomiso Acciones Bp Siete, Fideicomiso Acciones Bp Tres, Fideicomiso Acciones Bp Uno, Fideicomiso Acciones Diners Bp, Fideicomiso Dos, Fideicomiso P Uno, Mr Fidel Egas Grijalva	
EC0990004196001	0	Fusgal Trading S.A., Mazal Worlwide S.A., Mr Danny David Czarninski Baier, Mr Jacobo Czarninski Baier Johny, Mrs Silvia Czarninski Baier Vivian, North Park Avenue Investment Company Llc, Upper Hudson Investment Company Llc, Upper New York Investment Company Llc	UY, VG, EC, EC, EC, US, US, US
EC1790319857001	2	Danpark Enterprises Ltd Llc, Fideicomiso Gb, Haymarket Capital Ventures Llp, Holding De Empresas Ecuatorianas Holdecuador S.A., Keypoint Investment Limited Company Llc, Mr Christian Jan Bakker Villacreces, Mr Hugo Alejandro Jarrin Sanchez, Mr John William Bakker Villacreces, Mrs Ximena Amada Montalvo Paredes, Pioneer Hi Bred International Inc	US, EC, GB, EC, US, EC, EC, EC, EC, US
EC1791256115001	0	Mr Francisco Donoso Andres	
EC0990858322001	3	Holding Grupo Difare Cia. Ltda., Mrs Juana Benilda Arnao Ramirez	EC, EC
EC0990017514001	0	Grant Invest Pte Ltd, Innoparticipations Lp, Innovent Investment Lp, Innovent Investments Sa, Mr Daniel Y Rafael Nunes Varella Rodriguez, Reco S.A.	SG, NZ, GB, CH, BR, UY
EC0991383808001	0		
EC0990032246001	973	Maggi-Unternehmungen Ag, Nestle S.A.	CH, CH
EC0990023549001	1020	Banco Del Instituto Ecuatoriano De Seguridad Social, Sab Colombia S A S, Sabmiller Limited, Sabmiller Southern Investments Limited	EC, CO, GB, GB
EC1390012949001	4	Holding La Fabril S.A. Holdingfabril, Towertrust Inc., Vasquez Alarcon Cy Atenaida	EC, PA, EC
EC1791958071001	315	Salini Impregilo S.P.A., Salini Simonpietro E C. - Societa In Accomandita Per Azioni	IT, IT
EC0992724919001	3	Arca Ecuador Sa, Banco Del Instituto Ecuatoriano De Seguridad Social, Coca-Cola Company (The), Jv Toni Sl.	ES, EC, US, ES
EC0990789061001	3	Holding Tonicorp S.A., Jv Toni Sl., Plasticos Ecuatorianos S.A	EC, ES, EC
EC0990049459001	2	Ceramix S.A., Corporacion Multibg S.A., Fideicomiso Barandua, Fideicomiso Mercantil Adm. Inv. Pertenencia Del Bg, Frontaura Global Frontier Fund Holdings Llc, Monarch Cia. Ltda, Mr Jorge Anibal Paez Jaramillo, Mr Juan Ferdez Nelly, Parra Zamora Lenin Farahon, Servicio De Cesantia De La Policia Nacional	EC, EC, EC, EC
EC0990005737001	37	Corporacion Ficiera Nacional Cfn	EC
EC1790004724001	0	Basic Materials Investments Llc, Elerayna Bay Llc, Fideicomiso Tenentes, Hard Steel, Llc, Inversiones Alabamas Corporation, Inversiones Panamaribo S.A., Mr Acosta Andrade Juan Bernardos, Mrs Maria Gabriela Avellan Cobo, Mrs Silvia Patricia Avellan Arteta, Singletary Holdings L L C	US, US, EC, US, US, PA, EC, EC, EC, US
EC0990326606001	4	Cartonera Andina Sa, Scylla Limited Partnership	EC, NZ
EC0990637679001	2	Rosales Pino Cristina De Lourdes, Rosales Pino De Cordovez Alicia De Lourdes	EC, EC
EC0990006687001	3	Aeroagripac S.A., Mr Colin Robert Armstrong Wilson, Mrs Cecilia Alexandra Luna Lopez De Armstrong	EC, GB, EC
EC1790283380001	0		
EC0990633436001	5	Mr Carlos Eduardo Garcia Baquerizo, Vicgrup S.A.	EC, EC
EC1791984722001	0	Mr Jorge Roberto Ortiz Cevallos, Mr Jose Maria Vega Orono, Mr Pablo Ernesto Ortiz Cevallos, Mr Segundo Patricio Espinosa Valencia, Mr Xavier Ferdo Ortiz Cevallos, Mrs Magda Elizabeth Espinosa Valencia, Orceval Distribuciones Cia. Ltda.	EC, EC, EC, EC, EC, EC, EC
EC0990011214001	0	Degeli S.A., Matedeca Ltd, Pacific Home & Fashion Franchise Llc	, BS, US
EC0991295437001	946	Inversiones Nutreco Limitada, Moxley Corporation S.A., Nutreco N.V., Percony International S.A.	CL, UY, NL, UY
EC0990608504001	2	Heptaseas S.A., Vandar Holdings Ltd	VG, VG
EC1790368718001	19	Indipalma S.A, Laskfor Management Inc, Promerica Ficial Corporation	EC, PA
EC0990064474001	37	Corporacion Ficiera Nacional Cfn, Hrdrs. De Heriberto Orces, Mr Leonidas Plaza Verduga, Mr Luis Cornejo Hidalgo	EC, EC, EC, EC
EC0590038601001	2	Carulen S.A., Mr Luis Arsenio Villacres Smith	, EC
