code_province	code_city	n1	n2	n3	n4	Impuestos	Empresas	year
201	20115	Q	Q86	Q862	Q8620	31935	103	2007
201	20115	N	N77	N773	N7730	72	5	2007
201	20115	L	L68	L682	L6820	1111	30	2007
201	20115	O	O84	O841	O8411	1278	29	2007
201	20115	A	A01	A012	A0122	7939	41	2007
201	20115	A	A01	A012	A0127	108938	35	2007
201	20115	G	G46	G466	G4663	126909	170	2007
201	20115	G	G46	G463	G4630	298869	595	2007
201	20115	G	G46	G464	G4649	159	19	2007
201	20115	G	G46	G464	G4641	0	20	2007
201	20115	G	G47	G472	G4722	0	10	2007
201	20115	G	G47	G475	G4759	6569	160	2007
201	20115	G	G47	G475	G4752	118541	341	2007
201	20115	G	G47	G477	G4772	16525	51	2007
201	20115	G	G47	G471	G4711	4230	125	2007
201	20115	F	F43	F431	F4312	71793	114	2007
201	20115	P	P85	P852	P8521	989	34	2007
201	20115	S	S94	S949	S9499	8338	42	2007
201	20115	S	S94	S942	S9420	32401	210	2007
201	20115	H	H52	H522	H5221	3752	42	2007
201	20115	H	H49	H492	H4923	12534	222	2007
201	20111	Q	Q87	Q873	Q8730	32479	80	2007
201	20111	K	K64	K641	K6419	6647	29	2007
201	20111	M	M69	M692	M6920	1866	8	2007
201	20111	O	O84	O843	O8430	4610	21	2007
201	20111	O	O84	O841	O8411	93787	123	2007
201	20111	O	O84	O841	O8412	6467	33	2007
201	20111	O	O84	O842	O8423	12339	42	2007
201	20111	G	G46	G466	G4663	10017	36	2007
201	20111	G	G46	G464	G4649	463	48	2007
201	20111	G	G47	G473	G4730	1797	25	2007
201	20111	G	G47	G475	G4752	4708	126	2007
201	20111	G	G47	G477	G4773	8858	107	2007
201	20111	G	G47	G471	G4719	10	1	2007
201	20111	P	P85	P851	P8510	7240	60	2007
201	20111	P	P85	P852	P8521	10136	60	2007
201	20111	B	B08	B081	B0810	3434	18	2007
201	20111	C	C14	C141	C1410	45648	102	2007
201	20111	C	C15	C152	C1520	21879	55	2007
201	20111	S	S94	S942	S9420	1851	12	2007
201	20111	S	S96	S960	S9609	170	59	2007
201	20111	H	H52	H522	H5221	363	7	2007
201	20111	H	H49	H492	H4923	0	2	2007
201	20101	R	R90	R900	R9000	19991	374	2007
201	20101	R	R91	R910	R9103	50	3	2007
201	20101	R	R91	R910	R9101	103815	249	2007
201	20101	R	R91	R910	R9102	1028	8	2007
201	20101	R	R92	R920	R9200	40126	223	2007
201	20101	R	R93	R931	R9312	429	11	2007
201	20101	R	R93	R931	R9311	1532948	1567	2007
201	20101	R	R93	R931	R9319	202590	126	2007
201	20101	R	R93	R932	R9329	14728	97	2007
